,0
2879,advised on the numerical implementation
1397,advised on the research 
2878,advised on the study
3218,advised on the work 
2584,advised on tools for decision makers
1313,advised research
8389,advised research 
2151,advised the experiments
2451,advised the writing of the manuscript
849,advised with study conception 
4838,aerosols emissions
7617,affinity to generate onartuzumab
4998,age constraints
7066,age models for all radiocarbon dating 
465,aided in creating 
4808,aided in experiment design 
5762,aided in interpretation of results
468,aided in performing communication strategies 
4940,aided in structure determination
472,aided in survey design 
6071,aided in technical performance of experiments in 
2595,aided in the analysis by providing intellectual contributions
2543,aircraft measurements in 
1356,aircraft sampling network
2245,aircraft sampling within the 
4154,algorithm
7331,algorithms
5553,all authors analyzed data 
460,all authors approved the final version of the paper
3472,all authors commented on the manuscript
3584,all authors commented on the paper
6687,all authors conducted gene annotation 
2963,all authors contributed 
980,all authors contributed actively to the scientific discussion
4643,all authors contributed equally to the writing of the paper
3552,all authors contributed intellectual input 
3961,all authors contributed substantially to revisions
2517,all authors contributed to designing the research 
606,all authors contributed to discussing 
7758,all authors contributed to discussion 
5222,all authors contributed to discussions
1980,all authors contributed to discussions of the results 
2142,all authors contributed to interpreting the data 
6796,all authors contributed to manuscript preparation
1099,all authors contributed to manuscript revisions
5735,all authors contributed to planning the study
1105,all authors contributed to revising versions of the paper
205,all authors contributed to revisions
2474,all authors contributed to scientific discussion 
5359,all authors contributed to the research
1789,all authors contributed to the revision
5884,all authors contributed to writing the final manuscript
66,all authors contributed to writing the manuscript
2404,all authors contributed to writing the paper
6858,all authors critically evaluated 
837,all authors discussed the data
3895,all authors discussed the manuscript
129,all authors discussed the results 
73,all authors edited the manuscript
121,all authors edited the paper
875,all authors edited versions of the manuscript
1424,all authors edited versions of the paper
3626,all authors helped conceive the work 
4737,all authors interpreted 
3043,all authors participated to the scientific discussions 
712,all authors proofread 
1295,all authors provided edited versions of the paper 
7146,all authors provided fruitful discussions 
2999,all authors read different versions of the manuscript
2340,all authors reviewed
251,all authors reviewed 
2200,all authors reviewed the manuscript
2866,all authors reviewed the paper
484,all authors revised 
3125,all authors revised the manuscript
8170,all authors wrote the paper
2930,all co contributed ideas for interpretation
2990,all co read 
7405,all coauthors
1227,all coauthors contributed to manuscript writing
7533,all commented on draft versions of the manuscript
5877,all contributed to writing the paper
3524,all data analysis
309,all of the authors have commented on the manuscript
6040,all other authors contributed to revisions of the paper
4928,all other authors contributed to writing the paper
2266,all other resources
2971,all shaped the research
1959,all the cell fate analysis
1280,all the related data processing
5508,along with performed the electrospray deposition of the proteins onto graphen performed the hologram reconstructions with her self software packag 
8186,also contributed the laboratory strain that was sequenced
1010,also made significant contributions to this study
942,also prepared all the figures 
5901,amino acid analysis
8391,amplifications of 
7971,an 
7539,analysed the data
2886,analysed the data 
7542,analysed the neuropsychological 
1136,analyses
7258,analyses to transcriptome data
8404,analyses with the supervision of 
615,analysis
822,analysis 
4850,analysis effort to which 
7624,analysis for the efficacy studies
7943,analysis of all aspects of the project
8384,analysis of data
3701,analysis of histological data
2507,analysis of historical weather data
128,analysis of human histology
1740,analysis of particle spectrometer data
5335,analysis of studies 
6330,analysis of the data
2412,analysis of the in situ dye observations
538,analysis of the mechanism
5445,analysis of the presented results
5951,analysis software
479,analysis software for movies
6242,analysis tools
6157,analysis were done by 
831,analytic tools
8312,analytical background
3473,analytical calculations
1915,analytical compound characterization
8515,analytical insight
345,analytical tools
6354,analyze data
2144,analyzed
383,analyzed 
5316,analyzed acoustic data
814,analyzed aldosterone measurements
2908,analyzed all cell biology experiments
6560,analyzed all data
6421,analyzed all experiments
8269,analyzed all experiments except blot analysis
3301,analyzed all structures
2184,analyzed all survivability assays 
7976,analyzed antibody experiments
6517,analyzed archaeological
4098,analyzed archaeological data
6821,analyzed assays
1033,analyzed behavioral studies
2576,analyzed binding affinity experiments
3642,analyzed binding sites of all compounds
7295,analyzed biochemistry 
818,analyzed blood pressure recordings
1337,analyzed by 
8395,analyzed c microarray data
819,analyzed calcium imaging
2658,analyzed calculation results
2765,analyzed cell images
6409,analyzed cell invasion assays
3855,analyzed cell mechanical stresses
6384,analyzed ceramide compositions
7297,analyzed circular dichroism spectroscopy
4698,analyzed clinical data
7908,analyzed clinical study
7359,analyzed confocal experiments
1381,analyzed crown 
7139,analyzed cryo data
6274,analyzed crystal structures
2577,analyzed crystallography experiments
3,analyzed data
132,analyzed data 
3996,analyzed data for in vivo mouse model mosquito challenge assays
3995,analyzed data for mosquito challenge assays
3612,analyzed data from oxygen evolution 
896,analyzed data from the cohort
8274,analyzed data of microarray analyses
7785,analyzed data on peptide structure
5526,analyzed data presented in 
545,analyzed data with assistance from 
8038,analyzed data with colleagues
1674,analyzed data with input from 
2129,analyzed data with significant input from 
8276,analyzed data wrote the paper
1825,analyzed descrambled weight matrices
7153,analyzed diffraction data
2569,analyzed electron spin resonance data
1029,analyzed electrophysiological experiments
7298,analyzed electrophysiology
2177,analyzed ensemble biochemical experiments
7168,analyzed existing material 
140,analyzed experimental data
692,analyzed experimental data 
2713,analyzed experimental neutron scattering data 
269,analyzed experiments
6488,analyzed extant pollen
5368,analyzed f data
6239,analyzed field data for initial research 
2863,analyzed fluorescence leakage assays
6490,analyzed fossil pollen samples
6673,analyzed fractal curves
7834,analyzed gene family evolution
7831,analyzed genes
5829,analyzed genetic data
6514,analyzed genetic data with the following contributions processing the data 
2076,analyzed genome size 
3672,analyzed genomic data
4451,analyzed genomic sequences
2272,analyzed genomics data
6015,analyzed heavy additive 
8118,analyzed image
7768,analyzed images
1466,analyzed imaging data
2911,analyzed knockdown
7828,analyzed libraries
5519,analyzed life data
6768,analyzed linguistic data
5037,analyzed live cell image data
5959,analyzed magnetic tweezers experiments
5969,analyzed mass spectrometry measurements
6583,analyzed mass spectrometry results
5163,analyzed mathematical models
1441,analyzed measurements
5853,analyzed microarray data
4315,analyzed microarray data in 
7591,analyzed microseismic data
3245,analyzed model output
4843,analyzed molecular dynamics simulations
636,analyzed most experiments reported here 
6585,analyzed mouse 
2575,analyzed mouse experiments 
7317,analyzed museum specimens
2943,analyzed mutant mice
7978,analyzed neutralization assays
7980,analyzed neutralization assays using viral strains produced in cells
7480,analyzed numerical data
3704,analyzed numerical simulations
3833,analyzed nutrient composition of plant forages
7502,analyzed oligonucleotide microarray analysis data
4045,analyzed optical data
994,analyzed paleoclimate data
5372,analyzed perceptual data
8054,analyzed phylogenetics
2023,analyzed plasma samples
8206,analyzed population observations 
7592,analyzed pressure performance
8157,analyzed previously published data 
433,analyzed profiles
1830,analyzed protein data
6983,analyzed protein structure 
7096,analyzed protrusions during toggle overexpression 
5369,analyzed pupillometry data
6408,analyzed quiescence studies in tumor cells
5310,analyzed radar data 
5053,analyzed raw data to produce isotopic measurements
4583,analyzed reanalysis data
4727,analyzed registered image data 
4628,analyzed research
5524,analyzed research presented in toggle
1112,analyzed results
6831,analyzed results 
4770,analyzed rock magnetic experiments
6185,analyzed runs
372,analyzed samples
3811,analyzed satellite data
1444,analyzed screening data
5982,analyzed sedimentation velocity data
1659,analyzed sequence alignment
6198,analyzed sequencing
737,analyzed simulated data
1005,analyzed simulation data
1777,analyzed simulation results
139,analyzed simulations
8204,analyzed single observations
7830,analyzed small libraries
2566,analyzed small neutron scattering 
2568,analyzed small scattering data
2862,analyzed solid measurements
7158,analyzed solution structures
8341,analyzed some data
1442,analyzed sound recordings
8451,analyzed spectra
4674,analyzed spectra 
8443,analyzed structure
2278,analyzed test results
5681,analyzed the aircraft data
2167,analyzed the archaeological data
6790,analyzed the atmospheric ethane data
5833,analyzed the breast cancer cell line dataset
1490,analyzed the brood size 
4272,analyzed the clinical data
8044,analyzed the clinical diagnosis 
2533,analyzed the computations
4179,analyzed the d microscopy
103,analyzed the data
530,analyzed the data 
7938,analyzed the data for that study
5220,analyzed the data for the 
2929,analyzed the data under the supervision of 
5912,analyzed the data using codes written by 
2438,analyzed the data with feedback from 
291,analyzed the data with input from 
3038,analyzed the diatom oxygen isotope samples
7180,analyzed the dielectric data
5373,analyzed the effects of biological variability upon photoreceptor contrast
2733,analyzed the experimental 
5953,analyzed the experimental data
2736,analyzed the experiments
3538,analyzed the experiments in ext xlink xlink toggle 
6956,analyzed the extant 
8282,analyzed the field study
6319,analyzed the genetic screen 
5275,analyzed the genetic sequences
5727,analyzed the genome
7465,analyzed the imaging data
7050,analyzed the lipid 
5857,analyzed the mark data
4614,analyzed the mathematical model
5375,analyzed the mathematics of the polyhedral structure
3852,analyzed the mechanical effects on efflux complex assembly
1851,analyzed the medical implications
8283,analyzed the mesocosm study
6199,analyzed the metabolomics data
4651,analyzed the metagenome
6788,analyzed the methane data
6626,analyzed the microarray data
3196,analyzed the model
2448,analyzed the neurophysiological data
3021,analyzed the omics data
3159,analyzed the optics data
4287,analyzed the population dynamic models
2447,analyzed the psychophysics data
933,analyzed the results
3585,analyzed the results 
4350,analyzed the screening hits
1018,analyzed the seawater samples for isotope analysis
4639,analyzed the simulation model
250,analyzed the simulations
7567,analyzed the single diffraction data
3136,analyzed the steady state model balances 
2117,analyzed the structures
2164,analyzed the study
6061,analyzed the toggle expression profile
7654,analyzed the toggle genes 
8035,analyzed the tumor phenotype in mice
7837,analyzed the venom proteome
7503,analyzed the whole sequencing data
1621,analyzed theoretical findings
7510,analyzed these data
7072,analyzed thin sections from the site 
2909,analyzed toggle elegans experiments
1332,analyzed transport 
3453,analyzed transport data
4925,analyzed tumor pathology
2944,analyzed variants based on three structure models
6584,analyzed viral particle retrograde transport experiments
6249,analyzed volume data
4356,analyzed whole genome sequences
4353,analyzed whole sequences
4338,analyzing data
2131,analyzing measurements
7166,analyzing those data
725,analzyed data
2756,animal experiments 
3736,animal model
785,animal work
7957,animals
5311,animations
8183,anlayzed geological 
7829,annotated 
7827,annotated libraries
2855,annotated the genome
2075,annotated the genomes 
7832,annotated venom toxin genes 
1502,annotation
4304,annotations
2935,annotations of the toggle 
6519,anthropological data
8271,antibodies
2579,antigens
7932,apoptosis
1921,apoptosis assays
6637,apparent diffusion coefficient images
7257,applied distance 
1666,applied for funding
6977,applied it to data
8172,applied it to the language for this study
2202,applied the advanced algorithm to the data
7484,applied the analytical expectation model
4028,applied the information theory to the analyses
7470,applied the theory
5201,applied theory
2215,approach
1841,approval of all authors
2342,approved
228,approved the final manuscript
1144,approved the final submission
1598,approved the final versio 
565,approved the final version of the paper
1996,approved the manuscript
1690,approved the manuscript draft
5381,approved the paper
3354,archaeological 
4033,archaeological background information
4538,archaeological context
3658,archeological assemblages
7262,archived data
4918,ardized data
8364,ardized data collection of clinical 
418,ards
429,ards 
425,ards development
427,ards development for all subgroups 
5924,are builders
8481,are co authors
6269,are data providers
7704,are joint first authors
8469,are joint first authors who contributed equally to this work
356,are ordered r
1115,are principal investigators
3468,area estimation calculations
2162,arguments presented
8003,array implantations
6857,article drafts
7075,artifact depths
6678,as well as figure design 
3528,as well as further contributions by all other co designed 
3526,as well as further input by all co for conceptualization 
8015,ascr
4654,assays
3034,assemblage analyses
1880,assembled 
2614,assembled all tail domain polymers 
1316,assembled archaeological material
2634,assembled data
877,assembled phenotypic datasets 
4065,assembled samples
4324,assembled skeletal material 
6809,assembled technology
7937,assembled the clinical samples
3197,assembled the data
3623,assembled the genome
4041,assembled the system
1407,assembled the transcriptome 
4079,assembled the underlying data
8145,assemblies
4954,assembly
2883,assessed crop water requirements using 
5441,assessed electrode localizations
4635,assessed patients 
7570,assessed subjects
8247,assessed the evolutionary role of toggle heidelbergensis
7613,assessment of onartuzumab 
1421,assigned occupational codes
381,assistance
3327,assistance in designing 
3553,assistance to this study 
3118,assisted all analyses
5808,assisted data taking
3101,assisted during manuscript preparation
4645,assisted experiments
1875,assisted in analyzing data
2298,assisted in building optical setups
5947,assisted in cell culture
3049,assisted in constructing manuscript
4725,assisted in data collection
5453,assisted in deriving the mathematical results in toggle 
6006,assisted in developing high experimental techniques
8232,assisted in developing recording method
1056,assisted in developing the statistical framework 
7587,assisted in ex vivo analyses
7239,assisted in experimental design 
1028,assisted in experiments
3780,assisted in fluorescence measurements
3675,assisted in genetic engineering
7918,assisted in laser microdissection
2790,assisted in mouse experiments
2130,assisted in performing 
4297,assisted in providing access to the 
4294,assisted in recovery 
33,assisted in revision of the manuscript
3466,assisted in sampling design
5147,assisted in setting up the experiment
3779,assisted in soft tomography collection
7245,assisted in some aspects of research 
3371,assisted in specimen acquisition 
5148,assisted in the analysis
4210,assisted in the data analysis
1472,assisted in the development of the semiempirical linear free energy method for processes
4209,assisted in the field study
3237,assisted in the initial setup of the electrophysiology experiment
1961,assisted in the phylogenetic analysis
5880,assisted in the presentation of the results
2450,assisted in the writing of the manuscript
5105,assisted in writing the paper
5481,assisted in writing the protocol
5292,assisted modeling work 
1311,assisted on analyses
8108,assisted on reviews of related literature 
3119,assisted on structure modeling
2798,assisted with all animal work 
7222,assisted with analytic tools
570,assisted with animal experiments
585,assisted with animal protocols
6083,assisted with antennal lobe anatomy
1209,assisted with biochemical experiments
6497,assisted with cell culture
7839,assisted with comparative analyses
2657,assisted with conceptual work
151,assisted with confocal microscopy 
7576,assisted with data acquisition
6700,assisted with data acquisition 
1065,assisted with data analysis
1101,assisted with data collection
1062,assisted with data collection 
2822,assisted with data generation 
4077,assisted with data interpretation 
1061,assisted with data preparation 
5127,assisted with data processing
7016,assisted with design of research
1208,assisted with enteroid cultures
2676,assisted with experimental design of microbiome studies 
3330,assisted with experiments
3346,assisted with experiments using the mouse model
5668,assisted with experiments vivo 
2813,assisted with figure development 
1457,assisted with firn air modeling
3074,assisted with funding acquisition
3313,assisted with genetic stock design 
3430,assisted with histology 
928,assisted with human sample collection
3518,assisted with in vitro binding experiments
4135,assisted with in vivo experiments
6266,assisted with interpretation of data 
2216,assisted with jet fuel properties
6732,assisted with mammalian two assays
5155,assisted with manuscript revision
8534,assisted with methodology
4264,assisted with microscopy experiments
4305,assisted with microscopy imaging
1204,assisted with molecular biology assays 
7042,assisted with mouse behavioral tests
4137,assisted with mouse lung 
2921,assisted with neural data acquisition
6084,assisted with neuron tracing
2571,assisted with neutron spin studies
1206,assisted with obtaining patient samples
5662,assisted with optimization of microsensor design 
7849,assisted with optogenetics
4391,assisted with organoid section preparation 
4807,assisted with parallel software implementation
2436,assisted with photo experiments 
7809,assisted with real 
2871,assisted with research
3432,assisted with scanning
6702,assisted with technical review
2057,assisted with the acquisition of the data
3954,assisted with the analysis
773,assisted with the animal work
4140,assisted with the assay
772,assisted with the bioinformatic analysis
2179,assisted with the characterization
3405,assisted with the cultivation of toggle furiosus
8105,assisted with the data collection
4619,assisted with the data interpretation
5687,assisted with the design of the study
1113,assisted with the experiments
5040,assisted with the high screen
6089,assisted with the interpretation of isotopic data
2180,assisted with the paper writing
6297,assisted with validation of cardiac arrhythmias
3971,assisted with writing 
3066,assisted with writing of entire manuscript
6386,assisted with writing the paper
62,associated statistical tests of labeling data
280,asthmatic donors
3572,at the sites
6014,attained de novo phasing
1158,attempted to produce the double mutants toggle toggle
3516,attended the patients
2947,audiometric tests
996,authored software
3831,authored the concept of 
8009,authors analyzed data
6360,authors contributed to all aspects of the work
1676,authors read 
6872,authorship of the paper
3669,authorship order was determined by coin flip
8487,automated data processing
5261,backcrossed double reporter mice
6865,background information
6671,based on initial experiments by 
7730,baseline data
1120,basic characterization
6836,behavior experiments
7766,behavioral 
8240,behavioral data
4574,biases section of the manuscript
671,binding assays
1943,binding site analysis
4085,bio interferometry
5268,biochemical analyses
2253,biochemical experiments
1958,biochemical research
770,bioinformatic
3994,bioinformatic analysis
4266,bioinformatics
4239,biophysical experiments
3449,biopsy
4560,biostatistic data analysis
2768,blinded analysis
3608,blotting
1889,blue diving operations in the field
3530,both received contributions from all co
7416,bred 
7848,bred mice
6726,bred rice materials
1544,bring the paper to a higher level perspective
7077,brought their results together in the closing stages of their work
7175,buffering
2639,built
2241,built 
4620,built a code for the model 
7558,built equipment
8194,built experimental setup
5945,built informatic annotation 
137,built instruments
6512,built libraries
243,built mathematical models
3242,built microscope for studies
386,built the 
5630,built the apparatus
528,built the apparatus 
8349,built the beamline at the 
2378,built the d device
3078,built the database
4301,built the diagnostic models
7964,built the equipment
7141,built the fast absorption spectrometer 
5044,built the high optical tweezers 
8482,built the laser interferometer
6253,built the mathematical model
2310,built the microscope
1378,built the model
1763,built the online interface 
7105,built the optical setups
7358,built the optical tweezers setup
6662,built the probe that was used in this research
6283,built the required hardware
1046,built the scanning probe setup
8351,built the set
756,built the setup
7229,built the single instrumentation 
6873,built the strains
8067,built the system
3944,built the system 
3663,built the thermoluminescence instrument
3705,built the triangular coils
8368,c constructs
4741,c libraries 
7801,c synthesis
1058,calculated 
435,calculated abundances from profiles 
5034,calculated biomass burning contribution
7940,calculated class averages
7279,calculated energy balance
5028,calculated footprints
5035,calculated fossil fuel contribution
7278,calculated fruit presence durations
436,calculated sulfur isotopes
432,calculated sulfur isotopes 
1742,calculated the infection risk
5032,calculated the long response
4866,calculated the models
4254,calculated the population recombination rates
3570,calculation of 
2173,calculations
8265,calibrated
2515,calibrated the analytical model with the empirical results
7757,calibrated the setup
1807,calibrations
8028,camouflaging organisms
2355,cancer tissue cryosections preparation
2673,capacity building for the collection of bacterial isolates
4472,cared for animals
1440,cared for the bats
6805,carried on the calorimetric characterization
4842,carried out
1425,carried out a detailed analysis of the et a paper
5303,carried out additional simulations
8483,carried out all measurements on human subjects
689,carried out all other experiments
7612,carried out assays to assess binding to 
8223,carried out biochemical assays
7647,carried out bioinformatic analyses of 
600,carried out bioinformatics
7715,carried out bioinformatics analysis of expression
2311,carried out blood smear 
3975,carried out calculation
5486,carried out climate model analysis
2939,carried out comparative genomic analyses
7816,carried out computational analyses
2899,carried out computational research
7285,carried out computer simulations
6212,carried out confirmatory biological studies independent of 
4655,carried out crystallization
7934,carried out data analysis for the pyroptosis screen 
2156,carried out diffraction experiments
6398,carried out experiment
668,carried out experiments
5266,carried out immunohistochemical
2882,carried out in silico studies including molecular dynamics simulations
7128,carried out in vitro assays
7608,carried out in vitro assessment of onartuzumab
5238,carried out initial immunopurification of complexes from mouse 
1430,carried out laboratory research
6376,carried out laser striping experiments
7482,carried out materials fabrication
7684,carried out measurements at 
2623,carried out method development 
6282,carried out model simulations
7966,carried out modeling
8446,carried out mutagenesis 
4930,carried out numerical analysis 
4213,carried out optical 
2937,carried out phylogenomics analyses 
4099,carried out pollen analysis
670,carried out protein purification 
2087,carried out pymol modeling
6390,carried out q
7683,carried out rheological measurements at 
3563,carried out sampling 
6002,carried out sequencing 
1878,carried out simulations
3433,carried out simulations to model the data
3643,carried out stability assays
4097,carried out stable carbon isotope analysis
1119,carried out synthesis
5134,carried out taxon sampling
8322,carried out the adhesion assay
2524,carried out the analysis
7936,carried out the analysis for the carboplatin screen
5443,carried out the analytical modeling 
3641,carried out the antiviral tests
4004,carried out the breeding program 
835,carried out the calculations
4214,carried out the cell experiments
619,carried out the computational work
3229,carried out the computations
6170,carried out the crystallographic annealing 
6168,carried out the enzymological studies
2237,carried out the experiment
7086,carried out the experiment 
196,carried out the experiments
4121,carried out the experiments 
3329,carried out the field work
7851,carried out the immunoblotting experiments presented in ext xlink xlink 
6209,carried out the initial biological studies
5952,carried out the laboratory experiment
2784,carried out the mathematical modeling
4438,carried out the mechanical property tests
3569,carried out the meta presented in ext xlink xlink toggle 
2940,carried out the methylation analyses
1452,carried out the model simulations 
5462,carried out the optical experiments
1907,carried out the overall experimental design 
1494,carried out the phase field calculations
6972,carried out the photoelectron spectroscopy 
8319,carried out the photolabeling 
6971,carried out the photophysical measurements
7058,carried out the research plan
5807,carried out the simulation
492,carried out the simulation 
4589,carried out the simulations
2751,carried out the simulations 
2841,carried out the synthesis
6968,carried out the synthesis of the catalysts
2606,carried out the theoretical calculations
3640,carried out the thermal stability assays
7597,carried out theoretical 
6544,carried out theoretical calculations 
7550,carried out transcriptional profiling of mosaic discs
4580,carried out transmission electron microscopy
673,carry out experiments
4428,case studies
1991,catalysis
1121,catalytic activity measurements
1439,caught 
6375,cell analysis
1918,cell cycle
6484,cell growth assay
2312,cell isolation protocols
6022,cells
1917,cellular profiling
4419,cerebellar patients
416,chaired the 
8229,challenge studies under contract
7735,change reconstructions
1990,characterization
5778,characterization of single crystals
3203,characterization of the microgels
6549,characterization of the mutants
3320,characterization of thin films
319,characterized
2552,characterized 
4346,characterized all reported toggle baylyi strains
5020,characterized cell lines
317,characterized cells
5787,characterized clones 
4351,characterized drug interactions
1970,characterized materials
6217,characterized membrane vesicles
6813,characterized mouse knockouts
6579,characterized mutant viruses
5916,characterized reporter constructs
2769,characterized sample orientation
450,characterized samples
7899,characterized samples analyzed in the study
1139,characterized single crystals
4207,characterized the clinical samples
1330,characterized the crystals
6005,characterized the crystals used
7981,characterized the glycan
5724,characterized the i strain
7699,characterized the nanostars 
2112,characterized the proteins
7378,characterized the proteins biophysically
7177,characterized the samples
6542,characterized the samples 
184,characterized the samples under the supervision of 
6595,characterized the toggle line 
6342,characterized the used in the experiments
3316,characterized thin films
6060,characterized toggle in the 
6526,charge analyses
4903,checked 
6567,checked analysis 
4464,checked data for their domains of expertise
3874,chemical analyses
4913,chemical extraction
4095,chemical sample treatment
6215,chemistry
6025,choose the datasets
8296,chose c
1504,chromosome evolution
4170,citrate synthase experiments
8124,classified
6638,classified 
4333,classified arthropods
4334,classified beetles
7164,classified patients
4335,classified spiders
6641,classify tumors in by correlating with the pathology images
2906,cleaned 
4666,cleaning
6225,climate datasets
2360,clinical assessment
3157,clinical assessment of human neonates
7520,clinical care
6986,clinical characterization
576,clinical data
3435,clinical data analyses
809,clinical information
1211,clinical information from late patients with 
3226,clinical information used in this study
7505,clinical photos
4591,clinical practice
2362,clinical results
8410,clinical sample h
2775,clinical supervision
7686,clinically assessed subjects
6714,clinically evaluated the patient
2610,cloned
8445,cloned 
5212,cloned genes
2045,cloned plasmids to produce mutant 
686,cloned the construct
687,cloned the construct 
1553,cloned the targeting vector
6114,cloned toggle 
7097,cloning of constructs
5867,clonogenic assays 
7172,co 
2951,co analysis of data formulating the predictive routing framework
514,co the initial draft version
515,co the original 
4802,co the paper
8198,co the project
741,co the study
4252,coalescent simulations
4549,cocoordinated the study
4562,cocoordinated the study 
4145,code elements to format the data
8264,coded
8231,coded 
4797,coded all new computer programs
5719,coded audio recordings
2907,coded data
4071,coded data with input from 
6438,coded ecological characters
3339,coded the cognates
583,coded the epidemiological model
582,coded the gene flow model
7867,coded the model 
8156,coded the simulations
4177,codesigned experiments
7578,codesigned nucleation experiments
3830,codeveloped the shepherding model
4667,coding
916,codirected research
6505,codirected the excavations 
5495,codirected the project
2987,coguided the project
2220,coimmunoprecipitation
1183,coined the term 
3943,collaborated on developing the idea for the paper
2625,collaborated on sample requests
5487,collaborated on theory
1071,collated 
4535,collated data
5682,collated datasets 
5280,collated the checklist
2263,collated the clinical information
2239,collated the data
4075,collated the datasets
2497,collected
369,collected 
8256,collected additional data from casts 
4403,collected aerosol
2226,collected archaeological materials 
7814,collected atmospheric methane data
5122,collected autopsy 
4662,collected behavioral data
5825,collected blood from bats
4298,collected blood samples
6180,collected clinical data
7909,collected clinical data 
6487,collected clinical samples 
6854,collected cord blood 
1186,collected dat authors provided input on manuscript
43,collected data
743,collected data 
7769,collected data for 
5173,collected data for studies 
2123,collected data for this study
7635,collected data in ref rid toggle
5117,collected data in the field
8196,collected data on chondrichthyan brain organization
1728,collected data on shell coiling
6332,collected data used in 
1884,collected data used in the analysis
6340,collected dataset
3264,collected diffraction data
6292,collected electroencephalogram
5752,collected experimental animals
3244,collected experimental data
5365,collected f data
6774,collected fetal blood samples
8355,collected field data
2269,collected field data 
1406,collected field samples
1413,collected field samples 
3757,collected finds for analysis
8233,collected fossil material
5573,collected fossil material 
3475,collected genetic specimens
7817,collected gut lymphoid tissue samples
3459,collected human tissue
7443,collected human tissue samples
3870,collected ice core samples
7939,collected images 
1292,collected intervention policies 
3818,collected lichen samples
2182,collected material
1077,collected material information
2203,collected measurements
2228,collected medical records 
7532,collected modern samples
6617,collected molecular data 
5180,collected most fossil material
6558,collected neutron diffraction data
8043,collected or provided data
3769,collected or provided samples
618,collected original cohort data
7636,collected part of data in ref rid toggle
4106,collected participant data
6877,collected patient information 
3988,collected patient samples
6298,collected patients samples 
5367,collected perceptual data
3170,collected phenotypic 
6789,collected pipeline data
3583,collected placental tissues
6616,collected plant materials in 
5366,collected pupillometry data
254,collected samples
1506,collected samples 
7496,collected samples in the field
4406,collected sediment samples
4578,collected some of the data
1890,collected specimens
8305,collected study animals for the conduct of research from natural populations
7529,collected sub samples
4072,collected synesthesia families
2222,collected the 
2670,collected the bacterial isolates 
3293,collected the bile samples
3040,collected the biological data
2652,collected the butterfly specimens 
1746,collected the capture data 
2721,collected the clinical data
2791,collected the clinical samples
7560,collected the clinical specimens
662,collected the data
2003,collected the data 
7492,collected the diffraction data
1456,collected the field samples 
8030,collected the follow data
4673,collected the human muscle samples
1409,collected the in vivo roe deer embryos
620,collected the materials 
2284,collected the patient samples
2195,collected the phenology 
1315,collected the samples
4248,collected the samples 
7442,collected the samples in the operating theater
11,collected the sediment core
2982,collected the stroke cohort
7044,collected the synchrotron data
5531,collected the tissues from mouse embryo
7365,collected tissue
7706,collected tissue samples 
7250,collected tumor tissue 
8255,collected virtual data
5307,collected visual observations 
4665,collection
7395,collection of clinical data
1887,collection tools
4622,colloquium working group
2341,commented
7568,commented extensively on the manuscript at all stages of preparation
2168,commented on all versions of the manuscript 
569,commented on first draft
397,commented on manuscript drafts
6856,commented on multiple prior analyses 
852,commented on paper
5182,commented on the draft manuscript
6090,commented on the earlier drafts of the manuscript
2283,commented on the final draft
198,commented on the manuscript
4612,commented on the manuscript at all stages
2991,commented on the manuscript contents
16,commented on the paper
2926,commented on the results 
